Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,"7,4194E-05","0,048506","0,052268",0,0,0,"0,15295","6,4373E-05","-3,5521E-08","3,4441E-07","0,00014322","-3,3976E-06","0,0001144",0,0,0,0,0,0,package://__bl_biped/meshes/base_link.STL,"0,75294","0,75294","0,75294",1,0,0,0,0,0,0,package://__bl_biped/meshes/base_link.STL,,_body_structure_biped-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
hip_aa_left_side_bl_biped,"-0,0017924","0,028387","-0,021631",0,0,0,"0,093503","6,6139E-05","-4,3362E-07","9,8289E-07","4,2159E-05","1,0505E-05","3,0749E-05",0,0,0,0,0,0,package://__bl_biped/meshes/hip_aa_left_side_bl_biped.STL,"0,75294","0,75294","0,75294",1,0,0,0,0,0,0,package://__bl_biped/meshes/hip_aa_left_side_bl_biped.STL,,_hip_aa_left_side_bl_biped-1,Origin_hip_aa_left_side_bl_biped_joint,,hip_aa_left_side_bl_biped_joint,fixed,"-0,066","-0,1182",0,"3,1416",0,"1,5708",base_link,0,0,0,,,,,,,,,,,,
hip_fe_left_side_bl_biped,"-0,00264656198378056","-0,0117373327096065","0,0449336453716666",0,0,0,"0,0875377233211831","6,82008834854275E-05","-2,03003326659631E-07","-2,45175493755949E-07","4,5069453666998E-05","-9,45093477969188E-06","2,91118242506948E-05",0,0,0,0,0,0,package://__bl_biped/meshes/hip_fe_left_side_bl_biped.STL,"0,752941176470588","0,752941176470588","0,752941176470588",1,0,0,0,0,0,0,package://__bl_biped/meshes/hip_fe_left_side_bl_biped.STL,,_hip_fe_left_side_bl_biped-1,Origin_hip_fe_left_side_bl_biped_joint,Axis_hip_fe_left_side_bl_biped_joint,hip_fe_left_side_bl_biped_joint,continuous,"0,01",0,0,"-1,5708","-0,12129","-1,5708",hip_aa_left_side_bl_biped,0,0,1,,,,,,,,,,,,
upper_leg_left,"0,0337049648914777","-2,07744355823769E-05","-0,109703593119716",0,0,0,"0,10377648641822","0,000268105400038996","-1,13514210027242E-08","1,27896688803571E-05","0,000261762248291606","6,97692640896009E-08","1,68226262641879E-05",0,0,0,0,0,0,package://__bl_biped/meshes/upper_leg_left.STL,"0,752941176470588","0,752941176470588","0,752941176470588",1,0,0,0,0,0,0,package://__bl_biped/meshes/upper_leg_left.STL,,_upper_leg_200mm-2,Origin_upper_leg_left_joint,Axis_upper_leg_left_joint,upper_leg_left_joint,continuous,0,"-0,04009","0,02445","-0,92879",0,0,hip_fe_left_side_bl_biped,1,0,0,,,,,,,,,,,,
lower_leg_left,"-0,0385220333250463","-2,05346427539776E-06","-0,0881749362172527",0,0,0,"0,053970406394337","0,000210304316971374","-2,90237032213267E-11","-3,23159186131294E-06","0,000209791725136052","-7,12590129571036E-11","3,06150796682135E-06",0,0,0,0,0,0,package://__bl_biped/meshes/lower_leg_left.STL,"0,752941176470588","0,752941176470588","0,752941176470588",1,0,0,0,0,0,0,package://__bl_biped/meshes/lower_leg_left.STL,,_lower_leg_200mm-2,Origin_lower_leg_left_joint,Axis_lower_leg_left_joint,lower_leg_left_joint,continuous,"0,01997",0,"-0,2","1,1856",0,"-3,1416",upper_leg_left,1,0,0,,,,,,,,,,,,
foot_left,"5,99032361769947E-08","-0,00700427543915016","1,85583393930155E-08",0,0,0,"0,0165935434374477","8,21666243950823E-06","3,57318266999016E-12","2,36883054385825E-11","8,10382689201121E-06","-3,08746634705909E-12","5,50701454433249E-07",0,0,0,0,0,0,package://__bl_biped/meshes/foot_left.STL,"0,752941176470588","0,752941176470588","0,752941176470588",1,0,0,0,0,0,0,package://__bl_biped/meshes/foot_left.STL,,_foot-1,Origin_foot_left_joint,,foot_left_joint,fixed,"-0,03943",0,"-0,2","1,0472",0,0,lower_leg_left,0,0,0,,,,,,,,,,,,
hip_aa_right_side_bl_biped,"-0,0017935","-0,028388","-0,021631",0,0,0,"0,093502","6,6138E-05","4,3374E-07","9,8305E-07","4,216E-05","-1,0503E-05","3,0749E-05",0,0,0,0,0,0,package://__bl_biped/meshes/hip_aa_right_side_bl_biped.STL,"0,75294","0,75294","0,75294",1,0,0,0,0,0,0,package://__bl_biped/meshes/hip_aa_right_side_bl_biped.STL,,_hip_aa_right_side_bl_biped-1,Origin_hip_aa_right_side_bl_biped,,hip_aa_right_side_bl_biped,fixed,"0,066","-0,1182",0,"3,1416",0,"1,5708",base_link,0,0,0,,,,,,,,,,,,
hip_fe_right_side_bl_biped,"-0,00264759104456501","-0,0117375436090387","-0,0449332991893937",0,0,0,"0,0875393673311257","6,82030069011361E-05","-2,02901065429794E-07","2,45045267676802E-07","4,50813094160471E-05","9,44989188438618E-06","2,9123047290005E-05",0,0,0,0,0,0,package://__bl_biped/meshes/hip_fe_right_side_bl_biped.STL,"0,752941176470588","0,752941176470588","0,752941176470588",1,0,0,0,0,0,0,package://__bl_biped/meshes/hip_fe_right_side_bl_biped.STL,,_hip_fe_right_side_bl_biped-1,Origin_hip_fe_right_side_bl_biped_joint,Axis_hip_fe_right_side_bl_biped_joint,hip_fe_right_side_bl_biped_joint,continuous,"0,01",0,0,"-1,5708","-0,088416","1,5708",hip_aa_right_side_bl_biped,0,0,1,,,,,,,,,,,,
upper_leg_right,"0,033705","-2,0751E-05","-0,1097",0,0,0,"0,10378","0,00026811","-1,1395E-08","1,2791E-05","0,00026175","6,9379E-08","1,6808E-05",0,0,0,0,0,0,package://__bl_biped/meshes/upper_leg_right.STL,"0,75294","0,75294","0,75294",1,0,0,0,0,0,0,package://__bl_biped/meshes/upper_leg_right.STL,,_upper_leg_200mm-1,Origin_upper_leg_right_joint,Axis_upper_leg_right_joint,upper_leg_right_joint,continuous,0,"-0,04009","-0,02445","-2,2544",0,0,hip_fe_right_side_bl_biped,1,0,0,,,,,,,,,,,,
lower_leg_right,"-0,013866","-2,0394E-06","-0,088175",0,0,0,"0,05397","0,0002103","-3,0611E-11","-3,2316E-06","0,00020979","-7,5916E-11","3,0615E-06",0,0,0,0,0,0,package://__bl_biped/meshes/lower_leg_right.STL,"0,75294","0,75294","0,75294",1,0,0,0,0,0,0,package://__bl_biped/meshes/lower_leg_right.STL,,_lower_leg_200mm-1,Origin_lower_leg_right_joint,Axis_lower_leg_right_joint,lower_leg_right_joint,continuous,"0,044626",0,"-0,2","-1,2419",0,"3,1416",upper_leg_right,1,0,0,,,,,,,,,,,,
foot_right,"7,0722E-08","-0,0070043","-4,6886E-09",0,0,0,"0,016594","8,2167E-06","2,3354E-12","2,0099E-11","8,1038E-06","1,9059E-12","5,507E-07",0,0,0,0,0,0,package://__bl_biped/meshes/foot_right.STL,"0,75294","0,75294","0,75294",1,0,0,0,0,0,0,package://__bl_biped/meshes/foot_right.STL,,_foot-2,Origin_foot_right_joint,,foot_right_joint,fixed,"-0,014774",0,"-0,2","1,0472",0,"-3,1416",lower_leg_right,0,0,0,,,,,,,,,,,,
